,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
69,(0.9772538052585437-0.1150260844675602j),0.9840000000001229,-6.7130201883706855
70,(0.9795143044426198-0.1202306400563713j),0.9868655832564402,-6.997776014768713
71,(0.9717467810844355-0.12691805804653644j),0.9800000000031968,-7.441175309035697
72,(0.9831588919640005-0.12441701311526873j),0.9910000000002049,-7.212341705724237
73,(0.949224471778401-0.12937117985500876j),0.958000000000032,-7.761105522900258
74,(0.9611453409874984-0.10939227382619486j),0.9673505238923684,-6.493149683000436
75,(0.9350841142832281-0.12192907452776007j),0.943000000000024,-7.4290932983063085
76,(1.0053669013868618-0.03568464089337737j),1.005999999999955,-2.032811455933679
77,(1.0024603832858001-0.04036737304454081j),1.0032728167672194,-2.3059576414331966
78,(1.0083392348650115-0.03399450837917689j),1.0089121067605933,-1.9309021841636735
